UNIQUE KEY,DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,PERSONS INJURED,PERSONS KILLED,PEDESTRIANS INJURED,PEDESTRIANS KILLED,CYCLISTS INJURED,CYCLISTS KILLED,MOTORISTS INJURED,MOTORISTS KILLED,VEHICLE 1 TYPE,VEHICLE 2 TYPE,VEHICLE 3 TYPE,VEHICLE 4 TYPE,VEHICLE 5 TYPE,VEHICLE 1 FACTOR,VEHICLE 2 FACTOR,VEHICLE 3 FACTOR,VEHICLE 4 FACTOR,VEHICLE 5 FACTOR
3534212,9/29/2016,8:09,,,40.7428943,-73.7791768,"(40.7428943, -73.7791768)",,,,1,0,0,0,0,0,1,0,PASSENGER VEHICLE,SPORT UTILITY/STATION WAGON,,,,FOLLOWING TOO CLOSELY,UNSPECIFIED,,,
3332870,11/12/2015,13:05,MANHATTAN,10029,40.7953118,-73.9359119,"(40.7953118, -73.9359119)",EAST 115 STREET,1 AVENUE,,0,0,0,0,0,0,0,0,OTHER,PASSENGER VEHICLE,,,,UNSPECIFIED,UNSPECIFIED,,,
3166947,2/10/2015,14:10,,,,,,,,,0,0,0,0,0,0,0,0,SPORT UTILITY/STATION WAGON,OTHER,,,,UNSPECIFIED,,,,
3300658,9/20/2015,23:45,MANHATTAN,10016,40.7471531,-73.9854954,"(40.7471531, -73.9854954)",EAST 32 STREET,5 AVENUE,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,UNSPECIFIED,UNSPECIFIED,,,
3468084,6/23/2016,14:20,MANHATTAN,10023,40.768891,-73.9820935,"(40.768891, -73.9820935)",WEST 60 STREET,BROADWAY,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,SMALL COM VEH(4 TIRES),,,,UNSPECIFIED,UNSPECIFIED,,,
3211625,4/30/2015,8:22,MANHATTAN,10018,40.7595273,-73.999242,"(40.7595273, -73.999242)",WEST 40 STREET,11 AVENUE,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,PICK-UP TRUCK,,,,UNSPECIFIED,UNSPECIFIED,,,
3576700,12/10/2016,20:45,,,,,,FULTON STREET,,,0,0,0,0,0,0,0,0,SPORT UTILITY/STATION WAGON,SPORT UTILITY/STATION WAGON,,,,REACTION TO OTHER UNINVOLVED VEHICLE,UNSPECIFIED,,,
3249897,6/30/2015,9:00,,,,,,QUEENS BOULEVARD,VANWYCK EXPRESSWAY,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,PASSENGER VEHICLE,TAXI,,,DRIVER INATTENTION/DISTRACTION,UNSPECIFIED,UNSPECIFIED,,
3407505,4/21/2016,8:10,MANHATTAN,10016,40.7497247,-73.9836217,"(40.7497247, -73.9836217)",5 AVENUE,EAST 36 STREET,,1,0,0,0,0,0,1,0,PASSENGER VEHICLE,OTHER,,,,PRESCRIPTION MEDICATION,PRESCRIPTION MEDICATION,,,
3606615,1/29/2017,14:50,BROOKLYN,11211,40.713345,-73.96017,"(40.713345, -73.96017)",DRIGGS AVENUE,SOUTH 1 STREET,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,,,,,FAILURE TO YIELD RIGHT-OF-WAY,,,,
3595222,1/6/2017,0:40,,,,,,NORTH GANNON AVENUE,VICTORY BOULEVARD,,1,0,0,0,0,0,1,0,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,PAVEMENT SLIPPERY,PAVEMENT SLIPPERY,PAVEMENT SLIPPERY,PAVEMENT SLIPPERY,
3514253,9/4/2016,9:09,QUEENS,11379,,,,ELIOT AVENUE,65 STREET,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,UNSPECIFIED,UNSPECIFIED,,,
3230077,5/29/2015,14:45,MANHATTAN,10001,40.7557807,-74.0019852,"(40.7557807, -74.0019852)",11 AVENUE,WEST 34 STREET,,0,0,0,0,0,0,0,0,SPORT UTILITY/STATION WAGON,SPORT UTILITY/STATION WAGON,,,,UNSPECIFIED,UNSPECIFIED,,,
3582038,12/17/2016,15:35,QUEENS,11354,40.7618909,-73.8296641,"(40.7618909, -73.8296641)",138 STREET,37 AVENUE,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,SPORT UTILITY/STATION WAGON,,,,VIEW OBSTRUCTED/LIMITED,UNSPECIFIED,,,
3349856,12/9/2015,11:48,BROOKLYN,11238,40.6715362,-73.9576567,"(40.6715362, -73.9576567)",FRANKLIN AVENUE,LINCOLN PLACE,,0,0,0,0,0,0,0,0,SPORT UTILITY/STATION WAGON,SPORT UTILITY/STATION WAGON,,,,OTHER VEHICULAR,UNSPECIFIED,,,
3362742,12/30/2015,11:20,QUEENS,11102,40.7761407,-73.9325581,"(40.7761407, -73.9325581)",26 AVENUE,4 STREET,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,PICK-UP TRUCK,,,,DRIVER INATTENTION/DISTRACTION,UNSPECIFIED,,,
3590306,1/1/2017,6:30,,,,,,27 STREET,QUEENS PLAZA SOUTH,,0,0,0,0,0,0,0,0,TAXI,SPORT UTILITY/STATION WAGON,,,,DRIVER INATTENTION/DISTRACTION,UNSPECIFIED,,,
3438984,5/8/2016,3:45,,,,,,121 AVENUE,FRANCIS LEWIS BOULEVARD,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,,,,,UNSPECIFIED,,,,
3537907,10/7/2016,10:10,,,,,,,,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,SPORT UTILITY/STATION WAGON,,,,FOLLOWING TOO CLOSELY,UNSPECIFIED,,,
3317939,10/18/2015,22:48,MANHATTAN,10014,40.7409424,-74.0074808,"(40.7409424, -74.0074808)",WASHINGTON STREET,WEST 13 STREET,,0,0,0,0,0,0,0,0,TAXI,SPORT UTILITY/STATION WAGON,,,,UNSPECIFIED,UNSPECIFIED,,,
3608283,2/1/2017,20:00,,,40.709896,-73.83941,"(40.709896, -73.83941)",,,,0,0,0,0,0,0,0,0,PICK-UP TRUCK,PASSENGER VEHICLE,,,,DRIVER INATTENTION/DISTRACTION,UNSPECIFIED,,,
3350122,12/10/2015,0:35,MANHATTAN,10012,40.7272901,-73.9936392,"(40.7272901, -73.9936392)",LAFAYETTE STREET,GREAT JONES STREET,,0,0,0,0,0,0,0,0,FIRE TRUCK,OTHER,,,,UNSPECIFIED,UNSPECIFIED,,,
3185979,3/14/2015,18:10,BRONX,10473,40.8203657,-73.8705001,"(40.8203657, -73.8705001)",METCALF AVENUE,LAFAYETTE AVENUE,,3,0,0,0,0,0,3,0,TAXI,PASSENGER VEHICLE,PASSENGER VEHICLE,,,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,,
3302388,9/23/2015,9:45,,,,,,CLEARVIEW EXPRESSWAY EXIT NB,NORTHERN BOULEVARD,,0,0,0,0,0,0,0,0,VAN,PASSENGER VEHICLE,,,,PRESCRIPTION MEDICATION,UNSPECIFIED,,,
